ID	Mass	Radius	e	a	Torb	Incl	
66a	3.00	1.34	0.952	0.720	120.22	2.31	
67a	0.29	0.72	0.064	2.565	830.18	52.13	
67b	2.04	1.43	0.045	0.310	34.92	16.67	
68a	1.08	1.01	0.581	0.234	23.94	54.26	
68b	2.55	1.33	0.140	1.833	524.89	-30.40	
68c	1.40	1.08	0.032	0.014	0.35	-71.28	
69a	1.72	1.17	0.282	0.126	8.33	-39.74	
69b	1.07	1.03	0.014	0.077	3.98	75.07	
69c	2.89	1.77	0.013	0.178	14.12	-36.98	
69d	0.27	0.70	0.307	0.007	0.12	-84.21	
69e	2.73	1.37	0.014	0.091	5.15	70.03	
70a	1.97	1.25	0.015	2.905	1036.11	-89.10	
71a	2.26	1.53	0.259	1.425	328.16	47.19	
71b	0.44	0.81	0.079	2.928	966.89	-2.93	
72a	0.73	0.94	0.012	0.092	5.09	-77.64	
72b	2.16	1.16	0.071	0.011	0.22	52.12	
73a	1.92	1.22	0.072	0.020	0.54	-60.72	
74a	0.80	0.95	0.650	2.898	952.27	-39.47	
74b	0.23	0.66	0.043	2.697	854.81	-2.16	
75a	0.39	0.74	0.181	1.924	576.61	-69.09	
76a	1.21	1.08	0.103	0.013	0.30	-26.55	
77a	0.55	0.83	0.016	0.376	45.54	-77.09	
78a	1.30	1.10	0.429	2.443	753.58	-24.25	
79a	1.16	1.04	0.022	0.060	2.94	2.64	
79b	1.94	1.19	0.040	0.519	75.21	-88.62	
80a	1.86	1.17	0.014	1.491	373.17	-41.05	
81a	2.71	1.37	0.022	0.297	33.82	-28.28	
82a	1.17	1.04	0.384	0.237	20.01	72.13	
83a	0.52	0.84	0.014	0.256	26.89	6.40	
84a	2.75	1.61	0.072	0.412	48.66	-13.46	
84b	0.63	0.85	0.117	2.148	580.22	48.60	
84c	1.33	1.09	0.982	0.012	0.23	20.75	
85a	2.03	1.44	0.376	0.898	167.89	74.53	
86a	0.91	1.00	0.080	2.864	1077.05	14.80	
87a	1.88	1.16	0.021	2.805	923.04	-52.45	
88a	2.80	1.48	0.218	0.240	24.21	48.05	
89a	0.80	0.95	0.194	0.683	113.13	-78.32	
89b	0.49	0.81	0.094	0.134	9.82	0.68	
89c	2.61	1.72	0.015	0.017	0.44	33.91	
90a	2.69	1.40	0.477	0.352	44.63	-10.77	
91a	3.03	1.66	0.507	2.089	645.24	-69.62	
91b	2.97	1.65	0.048	0.115	8.37	-81.69	
91c	0.53	0.85	0.251	1.344	333.01	-57.55	
92a	1.28	1.06	0.094	0.108	7.77	-9.93	
93a	2.01	1.12	0.179	2.946	1047.45	36.52	
93b	1.99	1.21	0.456	0.699	121.11	-40.61	
94a	1.83	1.23	0.754	2.949	1290.18	-41.62	
95a	0.78	0.95	0.103	0.034	1.22	6.11	
96a	0.24	0.65	0.457	2.810	1356.57	-62.78	
97a	1.28	1.04	0.069	0.073	5.27	89.73	
98a	0.15	0.56	0.364	2.134	718.30	-66.22	
99a	0.07	0.47	0.037	0.487	78.32	-44.71	
100a	2.16	1.27	0.032	2.623	922.56	19.66	
101a	2.23	1.29	0.145	0.020	0.61	-31.23	
102a	0.22	0.64	0.023	0.293	34.46	-29.78	
103a	0.94	1.02	0.223	2.090	602.05	63.89	
104a	2.67	1.70	0.021	0.824	148.94	-45.66	
105a	1.04	1.03	0.015	0.231	24.46	-81.52	
105b	2.93	1.57	0.084	2.081	663.17	-71.35	
105c	1.21	1.05	0.077	2.872	1075.55	-46.27	
106a	1.40	1.11	0.548	2.936	1111.21	61.07	
106b	0.89	0.99	0.052	1.747	510.10	60.84	
106c	2.06	1.33	0.407	0.306	37.37	-25.23	
106d	0.83	0.94	0.011	0.010	0.22	56.77	
107a	1.48	1.09	0.239	1.670	476.75	62.49	
107b	0.34	0.76	0.364	0.124	9.67	3.90	
108a	1.70	1.17	0.041	1.802	528.38	-44.17	
109a	0.78	0.96	0.058	2.819	1337.57	77.90	
110a	2.61	1.44	0.025	1.501	365.54	83.73	
111a	1.18	1.06	0.152	0.039	1.76	28.58	
112a	0.27	0.66	0.350	0.220	23.36	-49.74	
112b	2.39	1.48	0.012	0.015	0.44	53.44	
113a	0.78	0.95	0.351	1.806	762.71	43.64	
114a	0.26	0.69	0.054	1.375	555.40	30.29	
115a	1.35	1.07	0.216	0.017	0.58	24.93	
115b	0.02	0.36	0.014	0.005	0.09	-73.70	
115c	1.74	1.17	0.490	2.196	835.51	47.33	
115d	0.28	0.71	0.161	0.976	247.64	37.48	
116a	0.60	0.86	0.191	0.787	183.56	60.01	
117a	1.77	1.19	0.050	1.682	355.35	61.42	
118a	0.92	0.96	0.229	0.011	0.30	-13.94	
119a	1.91	1.23	0.015	0.057	2.47	-80.54	
119b	1.87	1.20	0.365	0.054	2.25	-57.59	
120a	2.49	1.27	0.365	0.014	0.34	-70.08	
121a	0.60	0.89	0.696	0.220	26.46	-56.72	
122a	0.45	0.81	0.032	2.381	939.37	85.01	
122b	0.02	0.34	0.790	0.008	0.18	-64.93	
122c	0.13	0.58	0.036	0.679	143.04	87.76	
123a	0.42	0.76	0.051	0.734	160.70	17.86	
123b	0.75	0.89	0.127	1.349	400.52	0.21	
123c	0.63	0.85	0.020	2.145	802.76	14.24	
124a	0.61	0.90	0.046	0.236	23.56	17.53	
124b	2.52	1.22	0.066	2.954	1042.38	46.24	
124c	2.77	1.51	0.129	2.664	892.74	14.57	
125a	0.49	0.83	0.029	2.097	811.22	-36.17	
126a	0.96	0.98	0.026	0.017	0.68	4.49	
127a	1.47	1.10	0.194	0.055	4.02	18.13	
127b	0.29	0.72	0.090	0.007	0.19	-89.67	
127c	1.67	1.18	0.302	1.640	652.55	80.31	
127d	1.90	1.17	0.185	0.012	0.40	-27.05	
128a	2.77	1.41	0.837	0.338	42.01	-49.25	
129a	1.57	1.12	0.959	0.304	35.90	46.72	
130a	1.68	1.18	0.397	0.053	2.48	-25.39	
130b	0.67	0.92	0.012	0.134	10.04	-38.47	
131a	2.64	1.62	0.546	1.416	318.29	-42.91	
132a	0.30	0.73	0.337	1.982	701.67	-63.07	
132b	1.22	1.10	0.190	0.393	61.88	-46.60	
132c	0.36	0.74	0.078	1.944	681.16	52.77	
133a	1.84	1.21	0.196	2.949	1273.37	-55.40	
134a	1.49	1.11	0.598	0.035	1.64	-81.48	
135a	0.05	0.45	0.011	0.296	41.50	18.69	
135b	0.37	0.76	0.059	0.067	4.49	-89.85	
135c	0.30	0.71	0.090	0.009	0.21	80.47	
136a	0.72	0.94	0.017	0.009	0.23	28.17	
136b	0.13	0.56	0.022	0.006	0.11	69.70	
137a	1.32	1.10	0.563	0.564	161.08	-13.81	
138a	1.33	1.05	0.052	0.010	0.16	-31.56	
139a	2.61	1.68	0.555	0.024	0.83	-46.48	
140a	2.36	1.30	0.243	1.507	232.12	-9.52	
141a	2.80	1.80	0.013	0.724	97.32	-80.43	
142a	1.60	1.10	0.053	0.149	9.13	-49.95	
143a	2.38	1.46	0.182	0.217	18.85	-22.36	
144a	2.48	1.27	0.033	1.324	265.41	-83.77	
145a	0.91	0.97	0.025	2.697	2145.06	40.51	
146a	0.23	0.64	0.921	1.262	754.69	-9.61	
147a	1.36	1.11	0.981	0.056	4.51	-66.49	
147b	0.17	0.63	0.021	1.846	843.74	30.28	
147c	0.46	0.78	0.041	2.712	1503.01	-37.10	
147d	0.18	0.60	0.022	0.990	331.39	-40.58	
148a	0.12	0.57	0.236	2.923	1471.30	7.88	
148b	1.46	1.08	0.731	2.789	1371.11	-38.33	
149a	1.74	1.12	0.036	1.210	459.03	-81.62	
150a	1.57	1.10	0.161	2.142	1199.48	40.43	
151a	1.62	1.12	0.659	1.980	1066.20	-38.71	
151b	0.14	0.59	0.229	0.019	1.01	87.79	
152a	0.22	0.65	0.014	1.507	402.05	-74.18	
152b	2.75	1.59	0.235	0.445	64.56	-49.45	
153a	0.13	0.56	0.069	0.493	86.33	-80.33	
153b	1.22	1.08	0.816	0.509	90.72	78.51	
154a	0.98	1.03	0.058	2.025	916.40	25.57	
154b	1.78	1.19	0.039	0.013	0.46	32.95	
154c	1.39	1.08	0.059	1.022	328.48	-63.34	
154d	0.44	0.80	0.100	0.625	157.16	-65.71	
155a	1.34	1.07	0.022	0.017	0.68	-79.43	
155b	1.23	1.07	0.025	0.011	0.35	56.19	
156a	0.14	0.59	0.079	0.457	76.69	50.91	
157a	0.78	0.91	0.033	2.785	1478.05	-23.25	
158a	1.43	1.14	0.079	1.758	741.32	-28.33	
159a	1.25	1.08	0.733	1.633	663.71	-26.82	
160a	1.84	1.18	0.035	1.625	658.77	27.24	
160b	0.90	0.94	0.117	2.874	1549.58	47.15	
160c	1.82	1.18	0.141	0.012	0.44	68.07	
161a	1.08	1.00	0.556	0.077	10.96	27.42	
162a	1.93	1.21	0.187	0.012	0.41	-31.66	
163a	0.24	0.68	0.034	1.821	689.86	-17.15	
164a	0.36	0.74	0.143	0.118	10.55	-65.43	
165a	1.70	1.20	0.139	0.027	1.33	-85.37	
166a	1.51	1.17	0.019	0.248	36.63	84.10	
167a	1.87	1.15	0.605	0.013	0.44	41.53	
168a	1.03	0.97	0.017	0.454	57.08	-73.97	
168b	2.10	1.19	0.172	0.917	163.85	-35.61	
168c	1.00	1.00	0.634	2.218	616.23	-75.08	
168d	2.55	1.64	0.024	2.843	894.51	33.16	
169a	0.98	0.96	0.367	1.434	490.67	-89.99	
170a	0.57	0.88	0.665	2.897	1134.37	-67.18	
170b	0.55	0.87	0.177	2.881	1125.03	-73.89	
170c	2.28	1.37	0.594	0.018	0.58	47.53	
171a	0.71	0.88	0.119	0.042	3.17	-88.33	
172a	0.53	0.84	0.098	0.083	8.86	48.19	
173a	0.32	0.74	0.147	0.013	0.54	-35.65	
174a	1.77	1.21	0.584	2.713	1681.64	-24.53	
175a	1.76	1.17	0.012	0.057	3.80	25.72	
176a	1.11	1.06	0.015	0.386	67.36	-21.71	
176b	0.67	0.88	0.021	1.639	588.54	-8.62	
177a	1.30	1.09	0.628	0.868	290.12	-5.11	
178a	1.47	1.08	0.015	0.025	1.35	-26.86	
179a	1.80	1.17	0.015	0.907	211.20	-16.92	
179b	0.68	0.89	0.082	1.727	554.84	55.50	
180a	1.95	1.18	0.057	2.754	1118.00	45.67	
181a	1.77	1.16	0.333	0.163	16.13	-0.67	
182a	0.57	0.83	0.443	1.699	541.74	-70.50	
183a	3.00	1.68	0.415	0.055	2.72	-15.71	
183b	1.43	1.11	0.147	2.378	767.45	11.04	
183c	3.03	1.62	0.019	2.730	943.96	12.33	
184a	0.52	0.86	0.249	0.269	32.62	85.05	
185a	0.32	0.73	0.011	0.009	0.21	77.10	
185b	1.03	0.97	0.013	0.034	1.45	-82.41	
185c	0.81	0.93	0.109	0.009	0.20	-63.38	
186a	1.83	1.19	0.047	1.818	753.19	80.31	
187a	1.72	1.20	0.016	1.588	589.28	67.44	
187b	1.40	1.09	0.023	0.863	236.00	-5.15	
188a	0.01	0.31	0.027	2.856	1421.18	-43.04	
189a	0.07	0.47	0.046	0.006	0.11	-51.32	
190a	1.56	1.09	0.519	0.050	3.94	-39.26	
191a	0.55	0.85	0.123	0.524	135.27	-49.66	
192a	1.74	1.16	0.263	0.483	119.61	-17.24	
193a	0.92	1.00	0.124	0.541	141.79	5.59	
194a	0.31	0.73	0.171	0.396	63.38	83.25	
195a	1.00	1.04	0.538	2.587	799.04	-84.21	
196a	0.80	0.92	0.028	2.608	964.45	69.85	
197a	0.15	0.58	0.017	1.604	489.90	-83.37	
197b	0.41	0.80	0.153	1.344	375.98	-32.78	
197c	1.53	1.15	0.720	0.436	69.38	40.04	
197d	0.35	0.75	0.242	0.361	52.30	65.86	
198a	0.41	0.75	0.020	2.759	854.95	-11.14	
199a	1.49	1.14	0.103	2.622	792.24	22.67	
200a	1.63	1.17	0.346	0.022	0.55	-14.90	
200b	0.90	1.00	0.220	0.360	37.81	-52.80	
200c	2.66	1.31	0.019	2.883	857.02	40.25	
201a	0.14	0.56	0.016	2.939	1031.68	88.37	
201b	1.71	1.20	0.294	1.287	299.06	29.29	
201c	0.24	0.67	0.091	0.023	0.72	31.71	
201d	0.46	0.80	0.113	0.013	0.31	8.18	
202a	2.03	1.26	0.077	0.012	0.26	-35.98	
202b	0.45	0.82	0.178	0.020	0.54	-23.44	
202c	2.71	1.28	0.999	2.931	936.97	60.71	
202d	0.20	0.62	0.130	2.275	640.54	61.11	
203a	0.28	0.69	0.084	0.221	23.17	-78.67	
204a	3.08	1.88	0.150	0.144	12.19	67.02	
205a	1.84	1.15	0.082	0.202	21.34	-7.06	
206a	2.22	1.09	0.069	1.565	439.81	-39.00	
206b	0.73	0.93	0.049	0.858	178.48	8.46	
207a	1.01	1.02	0.355	1.058	193.78	-1.89	
208a	1.53	1.11	0.199	0.437	68.46	-27.94	
209a	1.89	1.21	0.089	0.814	155.44	3.68	
210a	2.34	1.21	0.062	2.906	1066.79	76.67	
211a	1.26	1.09	0.067	2.801	908.67	65.26	
212a	1.51	1.15	0.389	0.017	0.44	-35.60	
213a	3.06	1.87	0.438	2.083	616.62	6.49	
214a	1.60	1.14	0.320	0.165	15.24	37.58	
215a	1.29	1.04	0.066	2.949	1073.42	85.95	
216a	1.39	1.13	0.301	0.561	85.53	77.42	
216b	0.64	0.91	0.080	0.263	27.43	11.31	
216c	2.52	1.20	0.058	0.554	83.90	50.15	
217a	0.55	0.87	0.021	0.011	0.20	15.61	
217b	0.28	0.68	0.890	0.334	36.14	-52.21	
217c	1.55	1.16	0.517	0.571	80.91	22.08	
218a	2.52	1.23	0.700	2.044	628.87	68.92	
218b	2.96	1.39	0.696	2.379	789.75	51.37	
219a	0.47	0.83	0.028	0.745	121.89	63.26	
220a	1.75	1.17	0.567	0.058	2.58	-45.41	
221a	2.37	1.60	0.875	0.230	20.93	-4.97	
222a	2.58	1.53	0.077	2.302	607.45	-40.83	
223a	1.67	1.16	0.573	0.012	0.22	3.85	
224a	1.52	1.14	0.577	2.417	696.33	-63.91	
225a	1.80	1.21	0.149	0.033	1.23	68.69	
225b	0.85	0.95	0.099	1.078	228.12	53.33	
225c	0.97	0.99	0.045	2.774	941.61	-81.88	
225d	1.13	1.05	0.089	0.036	1.39	-25.83	
226a	1.66	1.14	0.172	0.789	149.83	64.96	
226b	1.24	1.05	0.392	2.503	846.54	2.27	
227a	1.00	0.97	0.811	1.065	240.78	-84.71	
228a	1.68	1.12	0.132	0.176	12.88	-21.39	
229a	1.88	1.15	0.099	1.330	281.59	-89.18	
229b	0.97	0.96	0.076	2.561	752.51	-21.19	
229c	2.46	1.60	0.810	0.017	0.41	37.96	
229d	2.68	1.68	0.707	0.019	0.49	60.84	
230a	2.59	1.46	0.240	0.026	0.70	77.78	
231a	0.16	0.61	0.066	2.945	920.66	18.76	
231b	3.02	1.60	0.015	2.898	898.74	-36.62	
231c	2.00	1.26	0.167	0.028	0.83	72.55	
232a	0.93	0.96	0.678	0.055	2.47	-82.48	
232b	2.07	1.42	0.017	0.029	0.95	57.10	
232c	2.41	1.29	0.019	2.135	591.90	-40.79	
232d	2.36	1.45	0.211	1.176	241.98	-85.67	
232e	2.60	1.26	0.013	0.022	0.64	-9.16	
233a	1.93	1.21	0.013	2.908	998.05	68.92	
233b	2.13	1.27	0.682	2.596	841.83	75.80	
233c	1.05	1.04	0.142	0.867	162.63	22.86	
233d	0.92	1.00	0.218	0.010	0.19	54.63	
233e	1.29	1.07	0.042	2.918	1003.14	45.86	
234a	1.07	1.04	0.111	0.028	1.00	28.79	
234b	2.17	1.31	0.199	0.287	32.77	71.68	
234c	1.53	1.14	0.012	2.946	1075.26	73.28	
234d	2.41	1.32	0.074	0.516	78.74	-20.06	
235a	1.31	1.12	0.049	0.375	48.88	3.18	
236a	2.94	1.34	0.013	0.392	45.15	43.93	
237a	2.60	1.57	0.034	1.549	350.71	-83.24	
237b	1.11	1.00	0.272	0.697	105.85	11.93	
237c	2.57	1.31	0.135	2.887	892.09	69.45	
237d	1.23	1.03	0.044	0.355	38.42	-63.93	
238a	2.95	1.47	0.192	0.847	141.80	3.66	
239a	0.74	0.92	0.181	0.009	0.16	-59.62	
240a	1.78	1.19	0.041	0.129	9.12	21.83	
241a	1.40	1.10	0.364	0.026	0.68	58.43	
242a	1.29	1.08	0.066	2.831	910.24	82.86	
242b	2.46	1.58	0.012	0.299	31.30	-55.23	
243a	2.75	1.71	0.225	0.681	102.74	35.83	
244a	1.88	1.18	0.011	2.078	624.74	47.36	
244b	1.50	1.15	0.026	2.418	784.41	65.05	
244c	1.58	1.16	0.317	2.954	1058.95	80.84	
244d	1.54	1.09	0.130	1.231	284.97	66.31	
245a	2.23	1.12	0.057	0.011	0.25	85.68	
246a	2.25	1.15	0.063	0.021	0.60	1.81	
247a	0.73	0.94	0.199	0.025	1.03	85.98	
247b	0.31	0.71	0.037	1.131	308.47	65.44	
248a	1.94	1.17	0.023	1.697	452.69	-63.83	
248b	2.34	1.18	0.071	0.220	21.13	18.62	
248c	2.97	1.58	0.091	2.860	990.40	-70.00	
249a	0.40	0.78	0.165	1.529	342.07	-75.03	
250a	2.18	1.23	0.246	0.458	52.61	-21.24	
251a	0.93	1.01	0.607	0.809	132.11	-73.01	
252a	1.13	1.02	0.079	0.302	31.03	-85.91	
252b	1.63	1.18	0.041	2.724	841.69	-28.40	
252c	0.55	0.86	0.339	1.902	490.93	86.28	
252d	1.69	1.20	0.314	2.950	948.42	-59.22	
253a	0.87	0.97	0.916	0.202	16.74	31.01	
254a	2.62	1.70	0.059	0.178	12.06	-64.68	
255a	1.37	1.09	0.019	0.775	114.46	-12.73	
256a	1.93	1.18	0.028	1.857	461.02	-78.98	
257a	2.35	1.38	0.174	0.445	54.01	-71.17	
258a	2.44	1.59	0.042	0.112	7.76	-5.92	
259a	2.34	1.13	0.061	0.011	0.23	27.48	
260a	1.89	1.20	0.067	0.055	2.65	-45.79	
261a	1.57	1.16	0.052	0.414	45.02	-37.18	
262a	2.94	1.65	0.805	0.059	3.02	-54.89	
262b	2.60	1.53	0.017	2.549	854.96	-72.32	
263a	0.40	0.77	0.551	0.128	9.55	17.29	
264a	1.99	1.19	0.032	2.947	1117.26	-9.69	
265a	0.73	0.88	0.190	0.690	119.80	-82.03	
265b	2.71	1.47	0.624	0.084	5.05	79.87	
265c	2.54	1.47	0.104	0.024	0.77	-48.56	
265d	3.04	1.79	0.011	0.236	23.96	-12.01	
266a	0.77	0.92	0.202	0.101	6.22	-76.58	
267a	0.70	0.92	0.611	0.010	0.22	57.70	
268a	1.92	1.22	0.041	0.017	0.40	-83.72	
269a	2.89	1.44	0.015	2.390	810.79	50.24	
269b	1.19	1.07	0.040	2.331	780.72	-58.31	
270a	0.52	0.84	0.013	0.667	117.76	-49.55	
270b	0.35	0.76	0.256	0.008	0.15	-27.48	
270c	1.08	1.04	0.713	0.107	7.56	-11.54	
271a	1.97	1.24	0.014	2.170	633.94	26.06	
271b	1.53	1.14	0.103	0.019	0.53	12.50	
271c	2.83	1.46	0.065	2.863	960.42	42.74	
272a	1.22	1.08	0.459	1.954	645.86	-3.03	
272b	1.65	1.14	0.279	0.018	0.55	24.29	
273a	2.15	1.19	0.621	0.055	2.54	72.15	
273b	0.33	0.73	0.047	0.074	3.95	-6.02	
274a	2.60	1.50	0.123	2.221	619.64	77.04	
275a	0.14	0.59	0.989	0.211	20.00	34.46	
276a	0.52	0.85	0.012	0.018	0.44	-83.19	
276b	0.75	0.96	0.963	0.302	30.07	-71.03	
277a	0.50	0.84	0.300	0.018	0.41	-44.26	
278a	2.06	1.31	0.026	1.185	275.89	70.53	
279a	3.00	1.39	0.042	1.492	369.52	27.63	
280a	2.03	1.30	0.038	2.743	851.65	-3.39	
281a	2.68	1.50	0.041	1.178	251.96	-61.82	
282a	1.77	1.18	0.016	0.066	3.08	22.57	
282b	1.60	1.16	0.015	2.696	807.83	-40.98	
282c	1.98	1.20	0.025	0.043	1.64	81.41	
282d	2.39	1.33	0.138	0.024	0.66	46.01	
282e	2.90	1.81	0.218	0.650	95.62	55.45	
283a	2.77	1.27	0.977	0.084	4.74	40.54	
284a	0.44	0.78	0.358	0.014	0.34	-8.50	
285a	2.55	1.32	0.418	2.826	1001.70	37.75	
286a	2.74	1.74	0.072	0.017	0.40	-10.72	
287a	0.46	0.82	0.302	2.366	703.87	69.86	
288a	0.27	0.71	0.147	2.709	918.54	41.75	
289a	1.58	1.16	0.346	0.033	1.35	-85.29	
289b	0.45	0.81	0.065	0.013	0.32	60.73	
289c	1.39	1.11	0.015	0.600	104.59	30.87	
289d	1.76	1.19	0.413	0.471	72.70	56.82	
290a	2.10	1.47	0.020	0.106	7.68	43.42	
290b	0.49	0.81	0.236	0.037	1.59	25.62	
290c	0.65	0.91	0.116	2.081	666.94	-73.98	
290d	2.84	1.45	0.277	0.023	0.76	60.08	
291a	1.37	1.05	0.045	0.462	57.46	-40.38	
292a	0.37	0.73	0.258	0.149	12.42	-3.34	
293a	2.76	1.37	0.162	0.927	190.01	-10.74	
294a	2.38	1.24	0.032	0.097	5.74	-49.59	
295a	1.80	1.19	0.070	0.923	167.86	6.34	
296a	1.15	1.02	0.152	0.348	40.11	85.77	
297a	2.16	1.38	0.064	0.660	112.53	-27.08	
298a	1.04	0.98	0.014	0.526	85.22	-68.30	
299a	1.02	1.02	0.037	0.255	25.79	-83.74	
299b	1.73	1.16	0.190	0.046	1.99	2.51	
300a	0.43	0.77	0.033	0.313	35.63	-58.91	
300b	1.55	1.09	0.034	0.030	1.06	-33.68	
300c	0.33	0.76	0.060	0.010	0.19	56.10	
