ID	Mass	[Fe/H]	Radius	Type	Teff	Tms	Nplan	
0	1.0	1.0	1.0	G	5700	10	5	
203	0.86	0.00	0.94	G	4884	15.888	1
204	0.86	0.00	0.94	G	4884	15.888	1
205	0.77	0.10	0.89	K	4389	21.904	1
206	0.84	0.23	0.93	G	4799	16.752	2
207	1.34	0.04	1.13	F	7638	4.156	1
208	0.76	0.35	0.89	K	4309	23.144	1
209	0.95	0.01	0.98	G	5397	11.775	1
210	0.92	0.24	0.96	G	5221	13.011	1
211	1.13	0.16	1.05	F	6440	6.931	1
212	1.19	-0.16	1.08	F	6788	5.919	1
213	1.01	0.31	1.00	G	5757	9.706	1
214	0.82	-0.04	0.92	G	4651	18.405	1
215	0.94	0.29	0.98	G	5386	11.850	1
216	1.02	0.12	1.01	G	5842	9.286	3
217	1.21	0.21	1.08	F	6879	5.687	3
218	0.92	0.41	0.96	G	5226	12.969	2
219	1.18	-0.08	1.07	F	6726	6.086	1
220	1.22	0.15	1.09	F	6942	5.534	1
221	1.18	-0.16	1.07	F	6703	6.149	1
222	1.40	0.05	1.16	A	7997	3.621	1
223	1.36	0.08	1.14	F	7752	3.975	1
224	1.24	0.11	1.10	F	7045	5.296	1
225	1.02	0.26	1.01	G	5825	9.368	4
226	0.93	0.03	0.97	G	5295	12.472	2
227	0.89	0.06	0.95	G	5050	14.378	1
228	1.40	0.19	1.16	A	8002	3.613	1
229	1.26	0.20	1.10	F	7182	4.999	4
230	1.51	0.22	1.19	A	8618	2.893	1
231	1.28	0.13	1.11	F	7296	4.768	3
232	1.18	0.27	1.07	F	6720	6.102	5
233	1.05	0.23	1.02	F	5973	8.688	5
234	0.94	0.33	0.97	G	5352	12.078	4
235	0.94	0.33	0.97	G	5352	12.078	1
236	1.26	0.07	1.10	F	7176	5.011	1
237	1.28	0.30	1.11	F	7318	4.724	4
238	1.28	0.30	1.11	F	7318	4.724	1
239	1.39	0.00	1.15	F	7905	3.748	1
240	1.10	0.02	1.04	F	6264	7.534	1
241	1.54	0.07	1.20	A	8795	2.722	1
242	1.16	0.24	1.07	F	6629	6.357	2
243	1.27	-0.18	1.11	F	7256	4.847	1
244	0.98	0.27	0.99	G	5563	10.756	4
245	0.89	0.28	0.95	G	5055	14.329	1
246	1.09	0.00	1.04	F	6230	7.658	1
247	0.65	-0.13	0.83	K	3676	37.267	2
248	1.01	-0.03	1.01	G	5774	9.620	3
249	1.30	-0.08	1.12	F	7387	4.594	1
250	1.47	-0.25	1.18	A	8379	3.148	1
251	1.29	-0.13	1.12	F	7353	4.658	1
252	1.21	0.10	1.09	F	6908	5.617	4
253	1.25	0.04	1.10	F	7153	5.059	1
254	1.64	-0.08	1.24	A	9359	2.259	1
255	1.51	0.13	1.19	A	8607	2.904	1
256	1.28	0.01	1.11	F	7296	4.768	1
257	1.28	0.12	1.11	F	7296	4.768	1
258	0.99	-0.06	0.99	G	5620	10.432	1
259	1.10	0.15	1.04	F	6270	7.513	1
260	1.00	-0.39	1.00	G	5700	10.000	1
261	1.49	-0.10	1.19	A	8493	3.023	1
262	0.96	0.05	0.98	G	5483	11.232	2
263	0.97	0.33	0.99	G	5511	11.059	1
264	0.87	0.00	0.94	G	4964	15.134	1
265	0.97	0.10	0.99	G	5529	10.957	4
266	1.13	0.30	1.05	F	6446	6.912	1
267	1.04	0.28	1.02	G	5910	8.967	1
268	1.30	0.24	1.12	F	7427	4.520	1
269	0.88	0.15	0.95	G	5027	14.575	2
270	0.91	0.03	0.96	G	5187	13.270	3
271	1.08	0.30	1.03	F	6156	7.938	3
272	0.76	0.00	0.89	K	4326	22.870	2
273	1.12	0.28	1.05	F	6389	7.099	2
274	1.21	0.00	1.09	F	6908	5.617	1
275	0.99	0.02	1.00	G	5665	10.182	1
276	1.30	-0.02	1.12	F	7404	4.562	2
277	1.42	0.09	1.16	A	8065	3.530	1
278	0.93	0.01	0.97	G	5295	12.472	1
279	1.03	0.16	1.01	G	5882	9.098	1
280	1.21	-0.16	1.08	F	6891	5.659	1
281	1.09	0.06	1.04	F	6230	7.658	1
282	1.27	0.00	1.11	F	7267	4.825	5
283	1.10	0.39	1.04	F	6264	7.534	1
284	1.06	0.29	1.03	F	6053	8.349	1
285	0.95	0.25	0.98	G	5443	11.481	1
286	1.32	0.21	1.13	F	7506	4.378	1
287	1.14	0.13	1.06	F	6469	6.839	1
288	1.00	0.43	1.00	G	5705	9.970	1
289	0.84	0.05	0.93	G	4770	17.054	4
290	0.86	0.32	0.94	G	4902	15.722	4
291	1.27	0.02	1.11	F	7250	4.859	1
292	0.92	-0.06	0.96	G	5226	12.969	1
293	0.94	0.19	0.97	G	5335	12.195	1
294	1.17	0.30	1.07	F	6657	6.276	1
295	1.19	0.30	1.08	F	6765	5.979	1
296	1.11	0.22	1.05	F	6332	7.292	1
297	0.96	0.01	0.98	G	5494	11.163	1
298	0.85	0.25	0.93	G	4839	16.341	1
299	1.06	0.21	1.02	F	6019	8.492	2
300	1.03	0.34	1.01	G	5871	9.151	4
301	2.40	0.15	1.46	None	13680	0.723	1
302	1.00	0.27	1.00	G	5700	10.000	1
303	1.06	0.08	1.03	F	6042	8.396	1
304	1.06	0.08	1.03	F	6042	8.396	1
305	1.06	0.08	1.03	F	6042	8.396	3
306	1.06	0.08	1.03	F	6042	8.396	1
307	1.06	0.08	1.03	F	6042	8.396	1
308	1.06	0.08	1.03	F	6042	8.396	1
309	0.74	0.17	0.88	K	4218	24.678	1
310	1.03	0.30	1.01	G	5871	9.151	1
311	0.93	0.05	0.97	G	5278	12.594	2
312	1.90	0.26	1.32	A	10830	1.458	1
313	1.90	0.26	1.32	A	10830	1.458	4
314	1.95	0.30	1.33	A	11115	1.349	1
315	0.85	-0.28	0.93	G	4845	16.283	2
316	1.68	0.19	1.25	A	9576	2.109	1
317	0.90	0.21	0.96	G	5130	13.717	3
318	0.79	-0.02	0.91	K	4525	19.977	1
319	1.33	0.28	1.13	F	7609	4.203	1
320	0.79	-0.06	0.90	K	4508	20.206	1
321	1.56	0.11	1.21	A	8892	2.634	1
322	1.60	-0.35	1.22	A	9120	2.441	1
323	0.96	-0.08	0.98	G	5472	11.303	1
324	1.32	0.08	1.13	F	7524	4.348	1
325	1.07	-0.24	1.03	F	6099	8.163	1
326	1.10	-0.08	1.04	F	6270	7.513	1
327	0.91	0.01	0.96	G	5187	13.270	1
328	1.15	0.10	1.06	F	6554	6.575	1
329	1.12	0.31	1.05	F	6384	7.118	1
330	1.19	0.18	1.08	F	6783	5.934	1
331	0.84	0.04	0.93	G	4805	16.692	1
332	1.85	0.20	1.30	A	10545	1.579	3
333	1.00	0.14	1.00	G	5700	10.000	1
334	1.00	0.14	1.00	G	5700	10.000	1
335	1.01	0.10	1.00	G	5757	9.706	3
336	1.05	0.10	1.02	F	5967	8.713	1
337	1.05	0.10	1.02	F	5967	8.713	1
338	1.20	0.25	1.08	F	6840	5.787	3
339	2.17	0.19	1.39	None	12369	0.979	1
340	2.17	0.19	1.39	None	12369	0.979	1
341	0.78	-0.36	0.90	K	4446	21.073	3
342	1.94	0.07	1.33	A	11058	1.370	1
343	1.40	0.07	1.16	F	7979	3.644	1
344	0.58	-0.24	0.79	K	3334	49.950	1
345	1.49	0.13	1.19	A	8493	3.023	1
346	0.75	0.00	0.88	K	4275	23.704	1
347	0.75	0.00	0.88	K	4275	23.704	1
348	1.36	0.18	1.14	F	7774	3.941	1
349	0.93	-0.22	0.97	G	5301	12.432	3
350	0.84	-0.71	0.93	G	4788	16.872	1
351	0.92	0.33	0.96	G	5244	12.842	1
352	1.19	0.31	1.08	F	6783	5.934	1
353	1.19	0.31	1.08	F	6783	5.934	3
354	1.58	0.18	1.22	A	9006	2.535	1
355	1.07	0.27	1.03	F	6099	8.163	2
356	0.90	-0.74	0.96	G	5130	13.717	1
357	1.05	0.04	1.02	F	5985	8.638	1
358	1.05	0.04	1.02	F	5985	8.638	1
359	1.23	0.10	1.09	F	7011	5.374	1
360	3.90	0.04	1.79	None	22230	0.169	1
361	1.12	0.17	1.05	F	6412	7.023	1
362	1.12	0.17	1.05	F	6412	7.023	4
363	1.91	-0.21	1.32	A	10887	1.435	1
364	2.39	0.09	1.45	None	13623	0.732	1
365	1.18	0.16	1.07	F	6726	6.086	1
366	1.13	0.31	1.05	F	6440	6.931	1
367	1.01	0.05	1.00	G	5757	9.706	1
368	0.76	0.02	0.89	K	4309	23.144	1
369	1.10	0.24	1.04	F	6270	7.513	1
370	1.10	0.24	1.04	F	6270	7.513	1
371	1.10	0.24	1.04	F	6270	7.513	1
372	1.20	-0.57	1.08	F	6840	5.787	1
373	1.07	0.29	1.03	F	6099	8.163	1
374	1.07	0.29	1.03	F	6099	8.163	1
375	1.15	0.56	1.06	F	6526	6.662	1
376	0.84	0.08	0.93	G	4788	16.872	3
377	0.84	0.08	0.93	G	4788	16.872	1
378	0.65	0.17	0.83	K	3705	36.413	1
379	0.99	0.25	1.00	G	5643	10.306	3
380	0.79	-0.02	0.90	K	4503	20.282	1
381	1.61	0.25	1.23	A	9177	2.396	1
382	1.09	0.18	1.04	F	6213	7.722	4
383	1.01	-0.19	1.00	G	5757	9.706	1
384	0.95	-0.31	0.98	G	5415	11.664	1
385	0.93	-0.28	0.97	G	5301	12.432	1
386	0.81	-0.74	0.91	G	4617	18.817	1
387	1.07	0.25	1.03	F	6099	8.163	3
388	1.07	0.25	1.03	F	6099	8.163	1
389	1.33	-0.07	1.13	F	7581	4.251	1
390	0.86	0.18	0.94	G	4902	15.722	4
391	1.29	0.01	1.12	F	7353	4.658	3
392	1.29	0.01	1.12	F	7353	4.658	3
393	1.02	0.03	1.01	G	5814	9.423	3
394	1.35	-0.13	1.14	F	7695	4.064	1
395	2.40	-0.10	1.46	None	13680	0.723	1
396	1.07	0.35	1.03	F	6099	8.163	1
397	1.07	0.35	1.03	F	6099	8.163	1
398	1.07	0.35	1.03	F	6099	8.163	1
399	1.07	0.35	1.03	F	6099	8.163	1
400	1.10	0.11	1.04	F	6270	7.513	1
401	1.10	0.04	1.04	F	6270	7.513	1
402	1.10	0.04	1.04	F	6270	7.513	1
403	0.99	0.19	1.00	G	5643	10.306	1
404	1.69	0.23	1.25	A	9633	2.072	1
405	1.09	0.21	1.04	F	6213	7.722	1
406	1.51	0.15	1.19	A	8607	2.904	1
407	0.95	0.29	0.98	G	5415	11.664	1
408	0.89	-0.31	0.95	G	5067	14.233	3
409	1.12	0.12	1.05	F	6384	7.118	1
410	1.90	-0.14	1.32	A	10830	1.458	2
411	1.02	0.19	1.01	G	5814	9.423	4
412	1.02	0.19	1.01	G	5814	9.423	1
413	0.93	0.10	0.97	G	5283	12.553	3
414	0.93	0.10	0.97	G	5283	12.553	1
415	0.58	0.16	0.79	K	3305	51.253	1
416	0.92	-0.03	0.96	G	5244	12.842	1
417	1.38	-0.03	1.15	F	7865	3.805	1
418	1.38	-0.03	1.15	F	7865	3.805	2
419	1.22	0.29	1.09	F	6954	5.507	1
420	1.45	0.15	1.17	A	8265	3.280	1
421	1.30	0.36	1.12	F	7410	4.552	1
422	1.10	0.26	1.04	F	6270	7.513	1
423	1.61	0.09	1.23	A	9177	2.396	1
424	0.94	-0.13	0.97	G	5358	12.040	1
425	1.02	0.16	1.01	G	5831	9.341	1
426	0.93	-0.46	0.97	G	5283	12.553	1
427	1.12	-0.01	1.05	F	6384	7.118	4
428	0.88	-0.10	0.95	G	5016	14.674	1
429	1.06	0.26	1.03	F	6042	8.396	1
430	1.72	-0.22	1.26	A	9792	1.972	4
431	1.50	0.10	1.19	A	8550	2.963	1
432	0.92	-0.51	0.96	G	5244	12.842	1
433	0.93	0.14	0.97	G	5301	12.432	3
434	1.25	-0.12	1.10	F	7125	5.120	1
435	0.77	0.05	0.90	K	4400	21.734	1
436	1.65	0.28	1.24	A	9405	2.226	1
437	1.12	0.05	1.05	F	6412	7.023	1
438	1.12	0.05	1.05	F	6412	7.023	4
439	1.09	0.00	1.04	F	6213	7.722	1
440	1.09	0.00	1.04	F	6213	7.722	1
441	1.31	0.21	1.12	F	7467	4.448	1
442	1.31	0.21	1.12	F	7467	4.448	2
443	1.25	0.01	1.10	F	7125	5.120	1
444	1.01	0.02	1.00	G	5757	9.706	3
445	1.35	0.37	1.14	F	7695	4.064	1
446	1.19	0.01	1.08	F	6783	5.934	1
447	0.75	0.01	0.88	K	4275	23.704	1
448	1.09	0.21	1.04	F	6213	7.722	1
449	1.09	0.21	1.04	F	6213	7.722	2
450	1.18	0.19	1.07	F	6726	6.086	1
451	1.13	0.21	1.05	F	6440	6.931	4
452	0.99	-0.04	1.00	G	5643	10.306	1
453	0.80	-0.18	0.91	K	4560	19.531	1
454	0.87	0.16	0.94	G	4981	14.978	1
455	0.87	0.16	0.94	G	4981	14.978	1
456	1.02	0.09	1.01	G	5814	9.423	1
457	1.50	0.37	1.19	A	8550	2.963	2
458	1.64	0.05	1.24	A	9348	2.267	4
459	0.99	0.04	1.00	G	5671	10.152	4
460	0.99	0.04	1.00	G	5671	10.152	1
461	0.88	-0.06	0.95	G	5016	14.674	1
462	1.09	-0.32	1.04	F	6213	7.722	1
463	1.40	0.21	1.16	F	7979	3.644	1
464	1.40	0.21	1.16	F	7979	3.644	3
465	1.14	0.30	1.06	F	6497	6.750	1
466	2.30	0.18	1.43	None	13109	0.822	1
467	0.99	-0.49	1.00	G	5643	10.306	4
468	0.94	0.17	0.98	G	5375	11.925	1
469	1.27	0.24	1.11	F	7267	4.825	2
470	1.10	0.19	1.04	F	6281	7.472	1
471	1.02	-0.52	1.01	G	5814	9.423	4
472	1.65	-0.07	1.24	A	9405	2.226	1
473	0.71	-0.62	0.86	K	4047	27.940	1
474	0.98	-0.16	0.99	G	5586	10.625	3
475	0.79	0.03	0.90	K	4497	20.360	1
476	0.79	0.03	0.90	K	4497	20.360	1
477	1.47	0.55	1.18	A	8379	3.148	2
478	1.47	0.55	1.18	A	8379	3.148	1
479	1.07	0.28	1.03	F	6099	8.163	1
480	1.09	0.29	1.04	F	6195	7.786	1
481	1.28	0.22	1.11	F	7296	4.768	1
482	2.60	0.20	1.51	None	14820	0.569	1
483	1.52	0.04	1.20	A	8664	2.848	4
484	1.84	0.26	1.30	A	10488	1.605	2
485	0.78	0.33	0.90	K	4446	21.073	3
486	0.78	0.33	0.90	K	4446	21.073	1
487	0.78	0.33	0.90	K	4446	21.073	1
488	0.92	-0.53	0.96	G	5244	12.842	4
489	1.17	0.30	1.07	F	6669	6.244	3
490	1.17	0.30	1.07	F	6669	6.244	3
491	1.28	0.11	1.11	F	7296	4.768	1
492	2.00	-0.29	1.35	A	11400	1.250	1
493	1.22	0.05	1.09	F	6954	5.507	1
494	1.06	0.16	1.03	F	6042	8.396	1
495	1.06	0.16	1.03	F	6042	8.396	3
496	1.60	-0.04	1.22	A	9120	2.441	2
497	1.09	0.29	1.04	F	6213	7.722	2
498	0.80	-0.03	0.91	K	4560	19.531	1
499	1.30	-0.24	1.12	F	7410	4.552	1
500	1.04	0.24	1.02	G	5928	8.890	1
501	1.04	0.24	1.02	G	5928	8.890	1
502	1.10	0.24	1.04	F	6270	7.513	3
503	0.91	-0.48	0.96	G	5187	13.270	3
504	1.14	0.30	1.06	F	6497	6.750	1
505	0.81	-0.20	0.91	G	4617	18.817	5
506	1.68	-0.15	1.25	A	9576	2.109	1
507	0.95	-0.15	0.98	G	5415	11.664	1
508	1.06	0.08	1.03	F	6042	8.396	5
509	1.17	0.23	1.07	F	6669	6.244	1
510	1.33	0.29	1.13	F	7581	4.251	3
511	1.11	-0.20	1.05	F	6327	7.312	1
512	1.34	0.25	1.13	F	7638	4.156	1
513	1.44	-0.15	1.17	A	8208	3.349	1
514	1.44	-0.15	1.17	A	8208	3.349	1
515	1.13	0.37	1.05	F	6440	6.931	1
516	1.13	0.37	1.05	F	6440	6.931	1
517	1.04	0.10	1.02	G	5928	8.890	1
518	0.98	0.10	0.99	G	5586	10.625	2
519	1.04	0.18	1.02	F	5956	8.763	2
520	1.04	0.18	1.02	F	5956	8.763	1
521	1.04	0.18	1.02	F	5956	8.763	1
522	0.74	-0.19	0.88	K	4218	24.678	1
523	1.22	0.19	1.09	F	6954	5.507	1
524	1.56	0.14	1.21	A	8892	2.634	4
525	1.00	-0.05	1.00	G	5700	10.000	4
526	0.94	0.06	0.97	G	5358	12.040	1
527	0.94	0.06	0.97	G	5358	12.040	1
528	0.81	-0.38	0.92	G	4634	18.609	1
529	1.30	-0.06	1.12	F	7410	4.552	1
530	1.60	-0.09	1.22	A	9120	2.441	1
531	0.78	0.04	0.90	K	4446	21.073	1
532	1.25	0.21	1.10	F	7125	5.120	1
533	1.15	0.02	1.06	F	6543	6.610	3
534	1.09	0.19	1.04	F	6213	7.722	3
535	1.68	0.12	1.25	A	9576	2.109	1
536	0.94	-0.08	0.97	G	5358	12.040	3
537	1.05	0.18	1.02	F	5985	8.638	2
538	1.15	-0.21	1.06	F	6554	6.575	2
539	1.22	0.16	1.09	F	6954	5.507	1
540	1.22	0.17	1.09	F	6954	5.507	4
541	0.87	0.23	0.94	G	4959	15.186	1
542	0.87	0.23	0.94	G	4959	15.186	3
543	1.30	0.24	1.12	F	7410	4.552	1
544	1.06	0.25	1.03	F	6042	8.396	1
545	1.36	-0.17	1.14	F	7752	3.975	1
546	0.90	0.23	0.96	G	5130	13.717	1
547	1.02	0.37	1.01	G	5814	9.423	1
548	1.02	0.37	1.01	G	5814	9.423	2
